a,cost_discrete,cost_identity
1,0.006802721,0.010666667
1.310344828,0.006802721,0.009066667
1.620689655,0.006802721,0.007934959
1.931034483,0.006802721,0.007092199
2.24137931,0.006802721,0.006440252
2.551724138,0.006802721,0.005920904
2.862068966,0.006802721,0.005497436
3.172413793,0.006802721,0.00514554
3.482758621,0.006802721,0.004848485
3.793103448,0.006802721,0.004594378
4.103448276,0.006802721,0.004374532
4.413793103,0.006802721,0.004182456
4.724137931,0.006802721,0.004013201
5.034482759,0.006802721,0.003862928
5.344827586,0.006802721,0.003728614
5.655172414,0.006802721,0.003607843
5.965517241,0.006802721,0.003498667
6.275862069,0.006802721,0.003399491
6.586206897,0.006802721,0.003309002
6.896551724,0.006802721,0.003226107
7.206896552,0.006802721,0.003149888
7.517241379,0.006802721,0.00307957
7.827586207,0.006802721,0.003014493
8.137931034,0.006802721,0.002954092
8.448275862,0.006802721,0.002897881
8.75862069,0.006802721,0.002845438
9.068965517,0.006802721,0.002796396
9.379310345,0.006802721,0.002750436
9.689655172,0.006802721,0.002707276
